Galaxy,V_bar,V_obs,Precision_paper,Type,V_mfsu,Error_%,Precision_%,chi2
NGC_7331,195.0,240.0,99.2,Masiva,241.91420441298925,0.797585172078854,99.20241482792115,0.1465671413883007
NGC_2841,260.0,320.0,99.2,Masiva,322.55227255065233,0.797585172078854,99.20241482792115,0.2605638069125346
M101,150.0,200.0,93.1,Espiral,186.08784954845328,6.956075225773361,93.04392477422664,7.741917207458868
NGC_3198,110.0,150.0,91.0,Espiral,136.46442300219906,9.023717998533963,90.97628200146603,7.328473786535921
NGC_6503,88.4,118.2,92.8,Espiral,109.6677726672218,7.218466440590698,92.7815335594093,2.9119561303283
NGC_2403,95.5,135.8,87.2,Espiral,118.47593087918192,12.757046480720247,87.24295351927975,12.004934836115321
DDO_43,38.5,52.3,91.3,Enana,47.762548050769674,8.675816346520696,91.32418365347931,0.8235388076629624
DDO_64,42.1,58.7,89.0,Enana,52.22865643993255,11.024435366384076,88.97556463361593,1.6751314988970598
DDO_126,35.2,48.9,89.3,Enana,43.6686153607037,10.698128096720454,89.30187190327955,1.0946954097706119
UGC_128,65.8,95.7,85.3,Espiral,81.63053666858815,14.701633575143003,85.298366424857,7.9179919373577095
IC_2574,72.3,105.8,84.8,Espiral,89.69434348235447,15.2227377293436,84.7772622706564,10.375686874575115
M33,56.3,105.4,66.2,Espiral,69.84497286385279,33.733422330310454,66.26657766968955,50.5663981860866
DDO_154,25.3,50.2,62.5,Enana,31.386817290505785,37.476459580665775,62.523540419334225,14.157433746432488
DDO_170,18.2,42.1,53.6,Enana,22.578659078545662,46.36898081105544,53.63101918894456,15.24331005486591
F568-3,38.5,85.3,56.0,Enana,47.762548050769674,44.00639149968385,55.99360850031615,56.36241195363102
